765 Documentos não possuem texto.

title_0_100_10, [0.37724829 0.38316477 0.38557484 0.3866606  0.38314044]
title_1_100_10, [0.62589963 0.62411069 0.62595104 0.62925658 0.62771099]
title_0_300_10, 
title_1_300_10, 
text_0_100_10, [0.88590591 0.88451873 0.88445766 0.89137498 0.88372272]
text_1_100_10, [0.8093629  0.8129054  0.81287251 0.80849281 0.81394126]
text_0_300_10, [0.89098231 0.88931171 0.88855741 0.88943335 0.8838418 ]
text_1_300_10, [0.81252368 0.8189096  0.8205156  0.81029303 0.81595931]
